,lgbm_oof
0,0.6915093346198954
1,0.5228526361035252
2,0.669754035692168
3,0.7944394954608478
4,0.6289482259141527
5,0.7337584104549343
6,0.7168344524492208
7,0.7787576237873386
8,0.7110293957368283
9,0.7975701713640713
10,0.6850540363609592
11,0.6259958196686408
12,0.6874874096571927
13,0.5402656139698853
14,0.6224243791106865
15,0.6884021082540043
16,0.7470482548573694
17,0.5991833878775333
18,0.5443518035998329
19,0.6911020362925352
20,0.6042169435748438
21,0.6654351245960605
22,0.5736709509916351
23,0.669490855438651
24,0.6806430718681956
25,0.6819407426367595
26,0.6625459148228474
27,0.6858787958767573
28,0.694441487639255
29,0.6830898534693677
30,0.6779171150436837
31,0.4958519186662907
32,0.615533506993288
33,0.6669822806775656
34,0.6685465243695625
35,0.5771711749653194
36,0.5349517354278803
37,0.6633810206762687
38,0.6861060143482448
39,0.7247905494000193
40,0.6930913555323303
41,0.5195119261911196
42,0.6915146177763546
43,0.6913354117891397
44,0.600283623340083
45,0.6991849453779808
46,0.7071567897907002
47,0.46027559993918904
48,0.5308594107375584
49,0.45556718281345515
50,0.370451469187144
51,0.5518459303791222
52,0.6585325670258669
53,0.6158336945709091
54,0.6171293149185098
55,0.7615736243122911
56,0.6086312481250784
57,0.7072506392487229
58,0.6028367569396451
59,0.74601778225078
60,0.6622510207082444
61,0.7077059440943401
62,0.4642528059730556
63,0.6345872305561725
64,0.6411111103910957
65,0.6941338968582309
66,0.6866716846844491
67,0.7301190305124695
68,0.5059135124508478
69,0.6495515340013718
70,0.6838152218072228
71,0.6769280234025405
72,0.6571028384797194
73,0.5458885030352627
74,0.6106394717694776
75,0.6924205983079749
76,0.5943722755726939
77,0.825495967888494
78,0.5620734835523917
79,0.7572894522338528
80,0.687470069175147
81,0.6324193030917388
82,0.6860175818969553
83,0.739182767315789
84,0.5539123585849121
85,0.689365356303762
86,0.640608153663741
87,0.6358168776482284
88,0.7549328961023664
89,0.6404906575579208
90,0.5422539489692669
91,0.6903321962195367
92,0.6960844085142474
93,0.5793037150923129
94,0.41094815902807175
95,0.6855962650790554
96,0.6630052395951325
97,0.6748240122531336
98,0.681853006176528
99,0.5011832327652728
100,0.6654409104777383
101,0.6848708643883269
102,0.6986434924491716
103,0.7326281082976177
104,0.5885198326591089
105,0.6873053837159747
106,0.6571225941852397
107,0.5148681523172003
108,0.517620626952766
109,0.7161062485152141
110,0.677185843697049
111,0.6858837398904386
112,0.6767297536511131
113,0.7187676859777774
114,0.6866835197067813
115,0.7545033868499809
116,0.6241200405368443
117,0.5059575545019857
118,0.6603559275295385
119,0.6042012939730165
120,0.6393985596443694
121,0.710644596419294
122,0.7023608914175571
123,0.51315090160251
124,0.5381178876888941
125,0.7067753281580437
126,0.5482545766712448
127,0.6768921974506676
128,0.6332562887661694
129,0.636334945191427
130,0.596209408828095
131,0.639218823991159
132,0.5604620810721107
133,0.6034153929880864
134,0.6633694498212631
135,0.6914608827479239
136,0.6770578650865984
137,0.5970433591899685
138,0.6852895955152266
139,0.602700130520122
140,0.5709342457831013
141,0.40952140338176585
142,0.6921254093247894
143,0.7556545843724468
144,0.5778798632259331
145,0.5807656836853269
146,0.6467770186886975
147,0.6781840360925954
148,0.6414530925844881
149,0.5271874371996627
150,0.6179863204850427
151,0.6803477622480794
152,0.5799291617221586
153,0.6798081962149849
154,0.6251306612535714
155,0.7960890656437852
156,0.6923612597037705
157,0.6805081988949095
158,0.7022109307729116
159,0.7965240591110768
160,0.578172923388382
161,0.6213597321047853
162,0.551718369285375
163,0.6333309274982021
164,0.5762724969835666
165,0.6296363677419102
166,0.7896249892841123
167,0.5628852867610624
168,0.5853104288279151
169,0.7115953059461668
170,0.5619642801036795
171,0.6336867196747584
172,0.7071567897907002
173,0.7107639832754341
174,0.6829774614496925
175,0.6232341583055944
176,0.5875800907724232
177,0.40600970437469736
178,0.7345674118165046
179,0.6512338875062315
180,0.6366181798920785
181,0.6143965490510378
182,0.707964268408944
183,0.6746840134422243
184,0.7246570783919267
185,0.6258437671054866
186,0.6939118985873213
187,0.7151144961165498
188,0.6885601087329433
189,0.6719915193893365
190,0.7436775636105798
191,0.6265815329530854
192,0.6866344497849941
193,0.6865903336369894
194,0.7207375172484497
195,0.4912298926646161
196,0.6093402749485081
197,0.7273044547309824
198,0.7374791809515758
199,0.6681101803751707
200,0.6969960247079301
201,0.6980984452153303
202,0.4345959479902432
203,0.6561796492074785
204,0.5656192096729934
205,0.6686508546222637
206,0.5331449945674986
207,0.6502367144398185
208,0.7145615402199886
