,oof_proba
0,0.6623522984919681
1,0.5005404478416464
2,0.6996947500201021
3,0.7006989507350789
4,0.6292621782572765
5,0.6870964878780216
6,0.7509137200493601
7,0.8223578248560143
8,0.746017518358455
9,0.8401859287663334
10,0.7148667879176861
11,0.6053249256852602
12,0.7740442132134279
13,0.5012775144375523
14,0.517116997072956
15,0.7454171964644252
16,0.7807837873294889
17,0.6037699330650558
18,0.5858159828662648
19,0.6773309171838776
20,0.5855519101422721
21,0.6936398903491006
22,0.6766195334340371
23,0.7843340320965029
24,0.5819580663882835
25,0.6541974639110126
26,0.7225238017683953
27,0.7773476452409005
28,0.7608908335261431
29,0.5985698863407543
30,0.5274488832029821
31,0.5557921523257429
32,0.5059056546539304
33,0.48993544879574735
34,0.7162341623885721
35,0.4133903683557806
36,0.59466954399429
37,0.7295562161784275
38,0.6213993192386058
39,0.8542752956151194
40,0.7120796830874492
41,0.4779798605203517
42,0.743203074058856
43,0.7470250133114671
44,0.6249028227367756
45,0.5562917933714748
46,0.8022294330504864
47,0.5262457935331157
48,0.5837407974927009
49,0.3711056694046665
50,0.24567273200309092
51,0.44859143257951695
52,0.7430515073883357
53,0.4471340820672317
54,0.6569896930090124
55,0.8124855843554784
56,0.7354428144642053
57,0.8040322110075856
58,0.4369153854433369
59,0.6733759660981424
60,0.3645471206377784
61,0.6956507693568283
62,0.4069901585675149
63,0.6419263738977194
64,0.6726145597825715
65,0.7658926827305258
66,0.48854411152653154
67,0.7448704472228437
68,0.46508747385505256
69,0.5750756251169777
70,0.6082221184103431
71,0.6881131804110818
72,0.718498822464914
73,0.5864359244200659
74,0.5591297862238017
75,0.7096221147569799
76,0.6007335760318993
77,0.6883446248516478
78,0.4028445669814397
79,0.7913986749534523
80,0.5694799789581593
81,0.7465418534671424
82,0.6136745837630176
83,0.7854435926360209
84,0.5520081189824058
85,0.6514253483224375
86,0.5416872851752265
87,0.6268748530892154
88,0.7495284482343317
89,0.6421349631240018
90,0.5559516037571987
91,0.7144813502191396
92,0.7364918384551307
93,0.6704328330691256
94,0.2426645883976349
95,0.6061879360888957
96,0.6144709291037008
97,0.6311384945344445
98,0.5979935917235552
99,0.5874879598519887
100,0.36103486072671537
101,0.5792683586457124
102,0.5544677330469246
103,0.7697777485012173
104,0.7309747939502543
105,0.7087243148287959
106,0.7179356489917565
107,0.33247577751501556
108,0.46344920068109063
109,0.689565519138312
110,0.7220678877646354
111,0.40427369634411797
112,0.5370582557765594
113,0.7561786704233733
114,0.6458832250675928
115,0.7673982409482607
116,0.5270851984036401
117,0.5589728603474405
118,0.6033844958816972
119,0.6788617640651667
120,0.6308239148100796
121,0.7125365357657362
122,0.6730054369936755
123,0.31542802528347214
124,0.48070980281577624
125,0.65915579991911
126,0.6277738108329831
127,0.6819765404551434
128,0.7075353447214832
129,0.6323997275142086
130,0.6769840914982332
131,0.6413983956149167
132,0.6595707906379837
133,0.6616209035837495
134,0.7542176258863419
135,0.711893722825619
136,0.39720572779765334
137,0.6402269905097653
138,0.7701358581617422
139,0.6376220932801069
140,0.634767664369204
141,0.40358829269575924
142,0.7912975724684478
143,0.6994869176962355
144,0.40615241595252627
145,0.44576058822670434
146,0.5224167188396347
147,0.7177438634181047
148,0.8117075785669602
149,0.5048226283575556
150,0.6634357757385319
151,0.6688220990022853
152,0.5099839217097505
153,0.7325950558887822
154,0.64080137130169
155,0.8053830539437611
156,0.6011698376925892
157,0.6439199645746683
158,0.7085680402285407
159,0.8036036950841409
160,0.48711551287542665
161,0.5893721024086942
162,0.5416699086068986
163,0.5378652280469716
164,0.7115563475705146
165,0.7001550796630157
166,0.8082213988421272
167,0.5356160407208729
168,0.7059894287900255
169,0.69263876862895
170,0.5546932931029573
171,0.6768800053741458
172,0.6484622240146418
173,0.7210426356188622
174,0.5349005960230823
175,0.7239262483935726
176,0.5124502649130145
177,0.29681290892416246
178,0.7493507379390634
179,0.7668111033769176
180,0.5762060851366868
181,0.5041420197066686
182,0.7381118531054408
183,0.6112556265937021
184,0.7527667701386387
185,0.68544343651311
186,0.7550015096389725
187,0.863591510625809
188,0.7034041154030412
189,0.5420712229608855
190,0.7218857243233949
191,0.6661853467829342
192,0.651176977365835
193,0.5341446440613435
194,0.6431615394255397
195,0.31601284064184254
196,0.4250497442707627
197,0.6969823310618631
198,0.712000539183542
199,0.665571937976151
200,0.7587176334775997
201,0.6875643951434223
202,0.5279375570367805
203,0.7274802387274761
204,0.5918195762192868
205,0.6791976537533791
206,0.6076541446867919
207,0.6212278899726238
208,0.6947405174821177
209,0.4232454895990655
210,0.8333408507058684
211,0.6630479883745354
212,0.7249415036352348
213,0.6819387584914505
214,0.6419346848886341
215,0.6356616109011739
216,0.6976190327891747
217,0.42152402829390895
218,0.7354228919658949
219,0.6473597946232381
220,0.45530078183355827
221,0.6840155187783153
222,0.7218314100196602
223,0.7111046710826731
224,0.658899248326005
225,0.7438367329135931
226,0.6476509535442249
227,0.5357449897388709
228,0.5911621600528634
229,0.5877699423360256
230,0.42380237304729373
231,0.709615725122531
232,0.47819944264908454
233,0.7354385641118872
234,0.48675486654355726
235,0.36210893407885225
236,0.45423170061844304
237,0.3964407521596362
238,0.7431777637472619
239,0.6413978653934643
240,0.7345133843063044
241,0.43249497386722996
242,0.6553955921126638
243,0.6343987062684251
244,0.5299194372680595
245,0.5123579052507277
246,0.7400245294599476
247,0.5453930150027115
248,0.6621989781311446
249,0.6463541006570498
250,0.49556063685848784
251,0.5460830093922409
252,0.7033009498858263
253,0.6400357978284067
254,0.6938318299707582
255,0.495304311919191
256,0.7661119610267276
257,0.7758903140798549
258,0.7094932999618502
259,0.540714629229996
260,0.45999020603232826
261,0.5879438235767473
262,0.5519461756431339
263,0.3417674022117197
264,0.6927928069713641
265,0.7168092557378146
266,0.4162411711832489
