,xgb_oof
0,0.6035439372062683
1,0.40395596623420715
2,0.717343270778656
3,0.6946247220039368
4,0.6347996592521667
5,0.6589410305023193
6,0.8262221813201904
7,0.824637234210968
8,0.6579391956329346
9,0.9019930958747864
10,0.8151177167892456
11,0.5132888555526733
12,0.7309152483940125
13,0.3897874653339386
14,0.3762497305870056
15,0.7636807560920715
16,0.8027515411376953
17,0.6087379455566406
18,0.6507922410964966
19,0.694989025592804
20,0.5856567025184631
21,0.7400345802307129
22,0.5141057968139648
23,0.792902410030365
24,0.39402225613594055
25,0.6053715944290161
26,0.7195083498954773
27,0.7348743081092834
28,0.8005486726760864
29,0.42015963792800903
30,0.4058738946914673
31,0.49578559398651123
32,0.24579603970050812
33,0.35068270564079285
34,0.7869832515716553
35,0.21571816504001617
36,0.5237006545066833
37,0.7786274552345276
38,0.6221344470977783
39,0.9479227066040039
40,0.6774923205375671
41,0.3600337505340576
42,0.758993923664093
43,0.7519370913505554
44,0.5244236588478088
45,0.7603415846824646
46,0.8737901449203491
47,0.47339335083961487
48,0.6163052916526794
49,0.5800050497055054
50,0.2723008096218109
51,0.3094601035118103
52,0.6690248847007751
53,0.2590690851211548
54,0.7472862601280212
55,0.8419625759124756
56,0.7777654528617859
57,0.7973400354385376
58,0.35474494099617004
59,0.5903055667877197
60,0.2259138524532318
61,0.6889941096305847
62,0.3074820935726166
63,0.6925795674324036
64,0.6508153676986694
65,0.8375241756439209
66,0.38550877571105957
67,0.8082448840141296
68,0.33378201723098755
69,0.4284689128398895
70,0.6608396768569946
71,0.7397663593292236
72,0.5329003930091858
73,0.4567747414112091
74,0.45259588956832886
75,0.7430251836776733
76,0.5506762266159058
77,0.7607406377792358
78,0.2494884431362152
79,0.8935531377792358
80,0.49705272912979126
81,0.7302349805831909
82,0.6949254870414734
83,0.8242024183273315
84,0.589783787727356
85,0.5347741842269897
86,0.5654240250587463
87,0.7040780186653137
88,0.7907655835151672
89,0.6927240490913391
90,0.4537331759929657
91,0.7400758862495422
92,0.7426753044128418
93,0.6086969375610352
94,0.1393003910779953
95,0.5583962202072144
96,0.5703651905059814
97,0.550943911075592
98,0.4346555173397064
99,0.4196307361125946
100,0.2182616889476776
101,0.4585948586463928
102,0.46746566891670227
103,0.8618563413619995
104,0.7477738857269287
105,0.6104248762130737
106,0.7560834288597107
107,0.19364722073078156
108,0.472442626953125
109,0.7192620038986206
110,0.7221105694770813
111,0.25253450870513916
112,0.4674786925315857
113,0.6968690156936646
114,0.5092340707778931
115,0.8378859758377075
116,0.4873543977737427
117,0.5638311505317688
118,0.496183305978775
119,0.6919525265693665
120,0.586292028427124
121,0.8141434192657471
122,0.7203463315963745
123,0.2017149180173874
124,0.2707800269126892
125,0.6634564399719238
126,0.424884170293808
127,0.7403130531311035
128,0.6908340454101562
129,0.7253278493881226
130,0.5961480736732483
131,0.6753880381584167
132,0.6347169280052185
133,0.6002624034881592
134,0.7979052662849426
135,0.6870981454849243
136,0.2905680239200592
137,0.5517981648445129
138,0.6490508913993835
139,0.33877280354499817
140,0.6219130158424377
141,0.2520609498023987
142,0.7392959594726562
143,0.7602099180221558
144,0.2632475197315216
145,0.4832625091075897
146,0.4395757019519806
147,0.6056942939758301
148,0.7669075131416321
149,0.4457918703556061
150,0.632240891456604
151,0.628079354763031
152,0.5057103037834167
153,0.6644222140312195
154,0.7750976085662842
155,0.818859338760376
156,0.6371884942054749
157,0.5787407755851746
158,0.8418018221855164
159,0.8014627695083618
160,0.47567540407180786
161,0.5789868235588074
162,0.5937162637710571
163,0.49120670557022095
164,0.7684780359268188
165,0.7571228742599487
166,0.8396738767623901
167,0.5679210424423218
168,0.7455118298530579
169,0.8024174571037292
170,0.3089858591556549
171,0.5491424798965454
172,0.7259790897369385
173,0.6826131343841553
174,0.3297629952430725
175,0.6769512891769409
176,0.5527310967445374
177,0.07725777477025986
178,0.8808223009109497
179,0.8456549644470215
180,0.5706250071525574
181,0.5238466262817383
182,0.7665040493011475
183,0.4246215224266052
184,0.857967734336853
185,0.7402051687240601
186,0.766943633556366
187,0.8758168816566467
188,0.49824249744415283
189,0.4455011785030365
190,0.8162988424301147
191,0.6217155456542969
192,0.5085229873657227
193,0.3371669352054596
194,0.6027724146842957
195,0.2930974066257477
196,0.4426601529121399
197,0.740191638469696
198,0.7132860422134399
199,0.6576247811317444
200,0.8085153698921204
201,0.7018408179283142
202,0.40339526534080505
203,0.793873131275177
204,0.5419437885284424
205,0.7420845031738281
206,0.6380653381347656
207,0.6668546795845032
208,0.6052687168121338
209,0.27032116055488586
210,0.8301629424095154
211,0.621006965637207
212,0.7063255310058594
213,0.6903547644615173
214,0.5226667523384094
215,0.6149314045906067
216,0.6419256925582886
217,0.6810300946235657
218,0.6786172986030579
219,0.6052525639533997
220,0.5997851490974426
221,0.5682485699653625
222,0.6955428719520569
223,0.680805504322052
224,0.5396908521652222
225,0.8009659051895142
226,0.5463986396789551
227,0.4472222328186035
228,0.3414776027202606
229,0.4198835492134094
230,0.27502748370170593
231,0.660182535648346
232,0.5478225350379944
233,0.6977355480194092
234,0.5961632132530212
235,0.19645904004573822
236,0.3999383747577667
237,0.39935600757598877
238,0.6766126155853271
239,0.6329996585845947
240,0.81612628698349
241,0.34262707829475403
242,0.647765040397644
243,0.5531004071235657
244,0.4745466113090515
245,0.7268821001052856
246,0.8354144096374512
247,0.31614670157432556
248,0.7719406485557556
249,0.7009279727935791
250,0.31041964888572693
251,0.49719932675361633
252,0.7258648872375488
253,0.7553045749664307
254,0.5834822058677673
255,0.4167456328868866
256,0.8421040773391724
